"Term","Estimate","OddsRatio","CI_Lower","CI_Upper","p_value"
"age_group55-64",0.355,1.426,1.29,1.577,"<0.001"
"age_group65-74",0.69,1.995,1.802,2.207,"<0.001"
"age_group75+",1.071,2.919,2.622,3.251,"<0.001"
"race_ethnicityBlack",0.203,1.225,1.105,1.359,"<0.001"
"race_ethnicityHispanic",0.161,1.175,1.065,1.295,"0.001"
"race_ethnicityAsian",0.149,1.16,0.995,1.352,"0.057"
"race_ethnicityAIAN",0.264,1.303,1.034,1.641,"0.025"
"race_ethnicityMultiracial",0.041,1.042,0.85,1.278,"0.692"
"race_ethnicityOther",-0.116,0.89,0.688,1.151,"0.376"
"educationLess than HS",0.431,1.539,1.369,1.73,"<0.001"
"educationHS graduate",0.351,1.42,1.299,1.553,"<0.001"
"educationSome college",0.152,1.164,1.066,1.271,"<0.001"
"income_bracket<$25,000",0.278,1.32,1.198,1.454,"<0.001"
"income_bracket$25,000-$49,999",0.251,1.286,1.173,1.409,"<0.001"
"income_bracket$50,000-$74,999",0.09,1.094,0.988,1.212,"0.085"
"income_bracketMissing",0.102,1.107,0.92,1.333,"0.281"
"living_alone",0.33,1.39,1.289,1.5,"<0.001"
"diabetes",0.449,1.566,1.441,1.702,"<0.001"
"hypertension",0.409,1.506,1.406,1.612,"<0.001"
"heart_disease",0.364,1.439,1.302,1.589,"<0.001"
"stroke_history",0.663,1.941,1.682,2.241,"<0.001"
"depression",0.524,1.689,1.562,1.825,"<0.001"
"hearing_loss",0.29,1.336,1.225,1.458,"<0.001"
"current_smoker",0.142,1.152,1.051,1.263,"0.002"
"binge_drinking",-0.078,0.925,0.836,1.024,"0.134"
"physically_inactive",0.25,1.284,1.19,1.384,"<0.001"
"sleep_lt7hrs",0.127,1.135,1.058,1.218,"<0.001"
"social_isolation",0.258,1.295,1.193,1.405,"<0.001"
"factor(survey_year)2016",0.029,1.029,0.919,1.153,"0.620"
"factor(survey_year)2017",-0.008,0.992,0.885,1.113,"0.895"
"factor(survey_year)2018",-0.109,0.896,0.798,1.008,"0.067"
"factor(survey_year)2019",-0.12,0.887,0.79,0.997,"0.045"
"factor(survey_year)2020",-0.199,0.82,0.727,0.923,"0.001"
