"state","high_risk","n","pct_high_risk"
"AZ",283,814,34.8
"AL",294,856,34.3
"OH",275,804,34.2
"NJ",285,844,33.8
"KS",312,934,33.4
"UT",286,862,33.2
"TN",299,902,33.1
"WA",297,896,33.1
"MI",269,814,33
"IN",271,824,32.9
"VA",267,812,32.9
"IA",275,839,32.8
"TX",267,815,32.8
"CO",267,822,32.5
"CT",272,840,32.4
"VT",275,860,32
"HI",267,838,31.9
"NC",278,872,31.9
"AR",265,839,31.6
"WY",279,884,31.6
"OR",257,817,31.5
"NM",269,857,31.4
"SD",270,859,31.4
"RI",275,881,31.2
"MA",262,844,31
"DC",265,858,30.9
"LA",249,809,30.8
"NH",250,811,30.8
"WI",274,891,30.8
"FL",263,858,30.7
"MD",249,811,30.7
"NV",254,827,30.7
"ID",267,875,30.5
"CA",266,878,30.3
"NY",271,895,30.3
"IL",266,882,30.2
"ME",259,858,30.2
"MT",260,865,30.1
"DE",257,857,30
"MO",261,871,30
"AK",267,896,29.8
"KY",250,846,29.6
"OK",244,825,29.6
"ND",254,860,29.5
"GA",257,876,29.3
"SC",243,829,29.3
"NE",239,824,29
"PA",246,854,28.8
"MN",236,838,28.2
"WV",242,872,27.8
"MS",233,841,27.7
